bank_id,branch_id,acct_id,dsply_nm,type,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
bank_1,1,0,JulieTurner,SAV,Julie,Turner,5890 Gina Tunnel,Higginsburgh,TN,US,62103,F,1998-03-11,405-29-2761,,
bank_1,1,1,JoseJohnson,SAV,Jose,Johnson,12654 Mccall Valley,Port Leslieshire,NC,US,23999,M,1966-10-15,390-28-2980,,
bank_1,1,2,BettyLam,SAV,Betty,Lam,94367 Angela Bridge,Ortegaland,IL,US,68396,F,1990-07-04,041-61-6649,,
bank_1,1,3,MarieMoreno,SAV,Marie,Moreno,8592 Ortiz Burgs Suite 892,Lake Jasonmouth,AK,US,95614,F,1946-08-28,189-17-2318,,
bank_1,1,4,CharlesOlsen,SAV,Charles,Olsen,11146 Maria Mission Apt. 160,Jennabury,TN,US,81942,M,1987-12-13,562-09-2854,,
bank_1,1,5,GaryMartinez,SAV,Gary,Martinez,469 Richardson Hollow,Emmaborough,MA,US,61306,M,1955-02-02,549-22-8497,,
bank_1,1,6,StephenRose,SAV,Stephen,Rose,089 Kennedy Shoal Suite 935,South Kurtville,DC,US,38871,M,1986-05-08,592-13-5683,,
bank_1,1,7,TammyKerr,SAV,Tammy,Kerr,47227 Keith Well Apt. 537,Lyonsfort,IL,US,23298,F,1958-11-29,400-69-5730,,
bank_1,1,8,TeresaKim,SAV,Teresa,Kim,3949 Morris Forest,South Christopherton,NV,US,70308,F,1983-07-19,137-29-7038,,
bank_1,1,9,KaylaDyer,SAV,Kayla,Dyer,398 Nicole Grove Apt. 952,Danaville,WI,US,66553,F,1984-02-18,039-58-2382,,
bank_1,1,10,SeanWiggins,SAV,Sean,Wiggins,10825 Heidi Port Suite 353,Virginiahaven,NJ,US,33399,M,1953-12-25,603-31-5639,,
bank_1,1,11,ErinMorales,SAV,Erin,Morales,5555 Amanda Valley,Rowestad,NH,US,85696,F,1960-05-13,537-51-9430,,
bank_1,1,12,BryceRamirez,SAV,Bryce,Ramirez,83748 Deborah Trace Suite 811,Nelsonberg,NM,US,25582,M,1964-02-08,345-65-9440,,
bank_1,1,13,KimberlyClark,SAV,Kimberly,Clark,4750 Michael Rapids,West Barrytown,GA,US,15171,F,1953-07-05,478-31-0181,,
bank_1,1,14,JeffreyPoole,SAV,Jeffrey,Poole,995 Alexis Road,East Andrew,MT,US,28269,M,1977-01-26,594-19-3350,,
bank_1,1,15,WilliamMorrison,SAV,William,Morrison,5244 Sanchez Hills,Shortmouth,IL,US,26544,M,2002-01-03,522-21-4801,,
bank_1,1,16,KevinClark,SAV,Kevin,Clark,1884 Jeffrey Key Apt. 577,Cooperville,MI,US,18574,M,1967-04-13,130-39-9665,,
bank_1,1,17,AshleyGuzman,SAV,Ashley,Guzman,233 Amy Valley,Port Todd,CA,US,40929,F,1985-12-01,824-50-6814,,
bank_1,1,18,BethanyChaney,SAV,Bethany,Chaney,822 Jackson Point,Ramirezburgh,IL,US,72378,F,1999-11-16,168-74-1061,,
bank_1,1,19,MarthaGutierrez,SAV,Martha,Gutierrez,1497 Gregory Wall,Kathrynview,MS,US,68180,F,1946-11-01,853-45-2215,,
bank_1,1,20,TimothyWood,SAV,Timothy,Wood,4549 Janice Meadow Apt. 106,Jacquelineburgh,CA,US,46755,M,2001-02-07,662-67-8829,,
bank_1,1,21,SamanthaHolloway,SAV,Samantha,Holloway,6924 Angela Well,Edwardsfort,ME,US,62012,F,1954-05-18,242-97-5579,,
bank_1,1,22,LaurenPerry,SAV,Lauren,Perry,6639 Galvan Forges Suite 881,Richardshire,MN,US,69690,F,1993-03-23,809-73-8100,,
bank_1,1,23,CarolWilliams,SAV,Carol,Williams,482 Eric Viaduct Suite 139,Theresaport,TX,US,61095,F,1983-04-05,262-29-2085,,
bank_1,1,24,CameronLee,SAV,Cameron,Lee,355 Victoria Ridges,Byrdtown,VT,US,43860,M,1982-09-24,726-57-4780,,
bank_1,1,25,DebraBrown,SAV,Debra,Brown,5957 Wright Cove Apt. 937,Lamside,MI,US,30981,F,1994-12-21,303-36-6266,,
bank_1,1,26,JamieMoon,SAV,Jamie,Moon,9421 Heather Shores Apt. 126,Lake Candiceport,MI,US,18507,F,1952-11-05,317-70-4943,,
bank_1,1,27,LauraStewart,SAV,Laura,Stewart,4406 Thompson Expressway,Stevenshire,MS,US,65452,F,1941-07-24,831-40-6443,,
bank_1,1,28,SarahHughes,SAV,Sarah,Hughes,748 Guzman Ways Suite 328,Adkinsborough,MO,US,16520,F,1963-11-30,732-17-4291,,
bank_1,1,29,AustinNorton,SAV,Austin,Norton,424 Ivan Greens Apt. 057,New Brianhaven,KS,US,86965,M,1985-01-19,324-91-5743,,
bank_1,1,30,JoshuaNguyen,SAV,Joshua,Nguyen,800 Tyler Square,Hatfieldmouth,WV,US,19497,M,1981-07-12,621-02-6369,,
bank_1,1,31,EdwinRichards,SAV,Edwin,Richards,19071 Davis Club,Gutierrezland,OH,US,49340,M,1991-09-14,637-40-1878,,
bank_1,1,32,RodneyJones,SAV,Rodney,Jones,50571 Sandra Way Apt. 305,Marystad,SD,US,24212,M,1968-03-25,363-87-2263,,
bank_1,1,33,RodneyLivingston,SAV,Rodney,Livingston,47505 Jeremy Route Apt. 385,Stephanieburgh,AL,US,54806,M,1942-05-16,665-46-7941,,
bank_1,1,34,JonathonDiaz,SAV,Jonathon,Diaz,42079 Andrew Stream,Michelleberg,WA,US,54712,M,1983-08-28,098-38-7582,,
bank_1,1,35,JosephWoods,SAV,Joseph,Woods,70038 Fowler Underpass,Robertstad,MO,US,98837,M,1965-12-13,626-53-5037,,
bank_1,1,36,MichelleJones,SAV,Michelle,Jones,335 Taylor Plain Suite 680,Jeffreymouth,CA,US,96353,F,1994-11-10,839-06-9334,,
bank_1,1,37,GinaQuinn,SAV,Gina,Quinn,92098 Keith Burgs Apt. 646,Kimberlyhaven,AR,US,8493,F,1964-12-30,718-73-1310,,
bank_1,1,38,DouglasSmith,SAV,Douglas,Smith,933 Lawrence Forks Apt. 437,Bennettborough,NY,US,35023,M,1957-07-13,210-04-2817,,
bank_1,1,39,KristenRivera,SAV,Kristen,Rivera,936 Mikayla Cove,Joseside,ND,US,56590,F,1954-08-02,120-76-6090,,
bank_1,1,40,DanielleHenry,SAV,Danielle,Henry,512 Richardson Station Suite 477,Oliverton,WV,US,77870,F,1990-07-11,048-57-6615,,
bank_1,1,41,GregoryRoss,SAV,Gregory,Ross,10626 Jeremy Rapid Apt. 950,Rowlandborough,CT,US,79616,M,1989-08-14,882-54-5397,,
bank_1,1,42,ShaunThompson,SAV,Shaun,Thompson,13888 Hampton Course,South Aaronville,WV,US,3763,M,1964-11-22,192-78-6808,,
bank_1,1,43,JeremyRoss,SAV,Jeremy,Ross,4808 Robert Corners,New Jackmouth,CO,US,75342,M,1975-09-30,220-62-6484,,
